DMS_id,bin,n,d_lo,d_hi,d_med,dms_med,dms_mean,mpnn_med,dms_meanrank,mpnn_meanrank
PSD95_Tm2F_1BE9,2,323,10.179455486419696,12.232083591931508,11.28572057956425,0.0098082,-0.025331144334365327,-185.5351104736328,0.6264959296569282,0.5016255834420329
PSD95_Tm2F_1BE9,3,304,8.29126027814831,10.140193144117127,8.650517420636804,-0.10186,-0.14702322611842103,-185.60064697265625,0.5066572184744857,0.47428950707988243
PSD95_Tm2F_1BE9,4,323,5.192467814055282,8.131980386105221,7.120945091769768,-0.19799,-0.25674281913312696,-185.53225708007807,0.4412295107730509,0.5001001870157628
PSD95_Tm2F_1BE9,5,304,2.70537575948332,4.980656783999477,3.3725190262067817,-0.402225,-0.32101620394736835,-185.78588104248047,0.39800335626502803,0.4813735639861074
SARS2-RBD_ACE2_deltaKd_6M0J,1,4405,14.900562170602827,42.275717510173614,21.069771783291817,-0.5,-0.9816652569560324,-1221.959228515625,0.6955075034703281,0.6687244850376661
SARS2-RBD_ACE2_deltaKd_6M0J,2,4429,9.569427673586336,14.644301997705453,10.819371931863698,-0.71,-1.530204164422176,-1223.779052734375,0.5986879551611252,0.5307820877769718
SARS2-RBD_ACE2_deltaKd_6M0J,3,4539,5.931737688064096,9.553563785310693,7.255618030188745,-2.35,-2.6935196579963105,-1225.5469970703125,0.4034398751581368,0.42096057367123607
SARS2-RBD_ACE2_deltaKd_6M0J,4,4142,3.059583304961643,5.850637401172627,4.554718213018232,-2.16,-2.5256802783635246,-1225.8089599609375,0.42216253723023334,0.41435396031084426
SARS2-RBD_ACE2_deltaKd_6M0J,5,4356,2.5253387891528574,3.002313441331535,2.6868096322590467,-2.44,-2.7903892004467155,-1224.9949951171875,0.3766964350904895,0.46199279824233586
Z-domain_ZpA963_HL2_fitness_2M5A,1,209,3.4096728582079536,3.6386235034694097,3.4096728582079536,0.4599595228502409,0.48914071371839324,-221.046630859375,0.6282919698700385,0.4882898930434297
Z-domain_ZpA963_HL2_fitness_2M5A,2,228,3.3168665936392436,3.3168665936392436,3.3168665936392436,-0.07848245497127945,-0.04590995533359127,-220.89571380615234,0.42739727030430835,0.4895366546583488
Z-domain_ZpA963_HL2_fitness_2M5A,3,162,2.883754150408803,2.883754150408803,2.883754150408803,-0.00760415172257645,-0.040781596759789436,-219.89501190185547,0.439755559677652,0.5329200931593808
hYAP65_peptide_FunctioncalScore_1JMQ,1,3988,7.349479981604141,21.89288841153675,7.880584432642036,1.2624083162519772,1.4000019138724298,-151.65325927734375,0.4748532582971123,0.5027867409138205
hYAP65_peptide_FunctioncalScore_1JMQ,2,4726,5.92174661734188,7.207606190684949,6.220095336889941,1.4596703579250885,1.6245718490282048,-151.70282745361328,0.5358783008300713,0.47794520007160624
hYAP65_peptide_FunctioncalScore_1JMQ,3,3211,3.881789535768265,4.448808716948842,3.9085646981980493,1.3660374721158608,1.4530505388170083,-151.71795654296875,0.49609147227761735,0.469788618141492
hYAP65_peptide_FunctioncalScore_1JMQ,4,4497,3.140497094410376,3.4138197081861246,3.140497094410376,1.5051827938928584,1.6820066675221574,-151.50509643554688,0.5405036586019134,0.5061042240216599
hYAP65_peptide_FunctioncalScore_1JMQ,5,1984,2.7492968191885,3.024458463923748,2.798125980008764,1.0039824013768095,1.0354674696969497,-150.97566986083984,0.3798536723649021,0.582245722489686
