DMS_id,ProteinMPNN,MPNN-1chain,ESM-IF1,PiFold,ByProt,PPIformer,SaProt,ProGen2,ESM1v,ESM2,ESM2-allchain,EVE,Tranception,TranceptEVE
GB1_IgG-Fc_fitness_1FCC_2016,0.4716689867469528,0.3803090873125974,0.5573597450549419,0.3999566651432022,0.446582540738037,0.2925962783483784,0.2920403751814496,-0.0301404264354194,0.1943637766049019,0.1860565172169146,0.0596698062429183,0.3896973970780133,0.3321869981175478,0.3156705460546783
SARS2-RBD_ACE2_deltaKd_6M0J,0.6959936289832883,0.6651782271639659,0.7321286985172655,0.6863706156314633,0.5978504637038322,0.3480162262864389,0.4701355293326394,0.5601236859264966,0.0519233785600959,0.0674341689457455,0.093572104723807,0.5460697795343109,0.6093362877081772,0.6060670113138771
KRAS_DARPinK27_norfitness_5O2S,0.4039924199940748,0.3537029934805071,0.5564012793884496,0.263151170494602,0.4415288055385325,0.1862255737200308,0.4701650549842399,0.4289301073256081,0.4350334346459839,0.5482384540018028,0.5542385413053796,0.5721767165798729,0.4955398746091638,0.579867689761723
KRAS_PICK3CG-RBD_norfitness_1HE8,0.4685668138171249,0.4782633569044428,0.3767854181387441,0.3900672024140892,0.4115908361315155,0.2112662190067177,0.4526653895830485,0.4862667297235249,0.5136268224699673,0.5696285623009535,0.5548267381341747,0.6170809555377702,0.5740522086279893,0.5934215438883964
KRAS_RAF1_norfitness_6VJJ,0.474268091460624,0.3911933444687321,0.4866123582389135,0.4834550472898739,0.5445044786593449,0.4357671347420497,0.3879197244817805,0.4910059793413248,0.4611697520992433,0.5769323844421719,0.5699261194935152,0.5588536504208834,0.6052726889019313,0.6177219585730256
KRAS_RAF1-RBD_norfitness_6VJJ,0.4919587301647055,0.3875519174614185,0.5329693843121727,0.4064184145496427,0.4845838817745491,0.2547808152605036,0.4788349396647135,0.4904201885599429,0.5077080750392458,0.6154928843601657,0.6133969304888804,0.6011958273050377,0.5552267426842871,0.6229142723330989
KRAS_RALGDS-RBD_norfitness_1LFD,0.5739693891385305,0.4841340048762038,0.6293855953126805,0.5556884648181983,0.4979670648704297,0.2905685538882602,0.5237971321717005,0.5042833771823543,0.5284457885322174,0.6239861746344636,0.6004044132772619,0.6366670902259993,0.6042258831010555,0.6621097897605969
KRAS_SOS1_norfitness_8BE4,0.3091962098527775,0.3246040723272866,0.2791481985350729,0.3322501357370688,0.4437490695993078,0.1873405305973798,0.3377251161842898,0.4325844653401138,0.4446835360835459,0.5529714013974327,0.5449704256909257,0.5375108922015384,0.4061956399429102,0.4795957580697401
BH3_Mcl-1_normed_3KZ0,0.6625111983616473,0.5844008209030962,0.2953731195029928,0.626001636332469,0.3380552974698836,0.3360930453538989,0.3132313577523269,0.4467726810612065,0.3887764238274631,0.4768981031433374,0.4925653843376141,0.4293170291202514,0.4287593827625804,0.4211275965057788
BH3_Bcl-xL_normed_1PQ1,0.6554169420975472,0.5982338867592834,0.0535430724829322,0.5461357940569393,0.4921025352706573,0.6016347611477362,-0.2928559837919081,0.4405872010102732,0.1572497544702685,0.2034718946537911,0.4130298530741281,0.6478537932233664,0.6600201362223254,0.6563232145571342
HLA-A2_TAPBPR_meanscore_5WER,0.4069023493652398,0.3933921054460383,0.2716711510709811,0.2712342857205793,0.1916533585933746,0.0475468653082343,0.2895448693261572,0.2676437365477806,0.3185179900638867,0.3259268114897596,0.3196930480767703,0.3515787920872727,0.132517372886462,0.157310234666024
PSD95_CRIPT_1BE9,0.3862723195276673,0.2808637839329909,0.411561969206703,0.3833833181354522,0.4940626305924154,0.2270957124552803,0.5346782803378984,0.4628252724733666,0.5702508565111383,0.54739715682037,0.5510572258131053,0.5333478278937097,0.5274577805554104,0.5850894274302356
PSD95_Tm2F_1BE9,0.2073242935623757,0.1509447179963328,0.2355516712605489,0.2028924635902915,0.2799629610190566,0.1552733846072125,0.2618273609041611,0.2667793092226474,0.2695108760084083,0.2830532991208704,0.2850816704554642,0.2787747114568563,0.2642770894708708,0.2917432587177984
ACE2_SARS2-RBD_enrich_6M17,0.265142017276136,0.2784146791342567,0.2439484607436213,0.2589984976172503,0.206043125090633,0.1405512486521802,0.2313771077886728,0.0662850145039038,0.1275356592251421,0.1764664170558648,0.1756769840520371,0.1874854117724648,0.1293633576776364,0.1438035185818676
CD19_FMC63_Fitness_7URV,0.6218993331968249,0.5940924772525413,0.3201763130506281,0.5181254196977224,-0.1471898241319379,-0.4831893838089667,0.5911782730412407,0.3703839622128381,0.4165924730502797,0.2279287644943585,0.3496324627661293,-0.4349002925940205,-0.1776730428935852,-0.149161612650252
