lam,step,l_div,l_anchor
0.03,100,-0.5804658532142639,1.8267443180084229
0.03,150,-0.4642198383808136,1.6435860395431519
0.03,200,-0.7928640842437744,3.029467821121216
0.03,250,-0.6818065643310547,2.333523988723755
0.03,299,-0.7593718767166138,3.252394914627075
0.1,0,-0.04782768711447716,11.570908546447754
0.1,50,-0.32710832357406616,0.7314677238464355
0.1,100,-0.37438035011291504,1.0515846014022827
0.1,150,-0.48882994055747986,1.503489375114441
0.1,200,-0.6926177740097046,1.0814855098724365
0.1,250,-0.503047525882721,1.3687645196914673
0.1,299,-0.7009322643280029,1.621538758277893
0.3,0,0.19376952946186066,13.147536277770996
0.3,50,-0.3362380564212799,0.7870273590087891
0.3,100,-0.44465669989585876,0.9939936399459839
0.3,150,0.004159698728471994,0.6569167375564575
0.3,200,-0.6023649573326111,1.0341119766235352
0.3,250,-0.40291914343833923,1.2313246726989746
0.3,299,-0.5181880593299866,0.5550795793533325
1.0,0,0.02772958017885685,10.271491050720215
1.0,50,-0.0918346419930458,1.009175419807434
1.0,100,-0.06405919045209885,0.4585801959037781
1.0,150,-0.1493074744939804,1.592842698097229
1.0,200,-0.4042023718357086,0.9638911485671997
1.0,250,-0.34834861755371094,0.3528681695461273
1.0,299,-0.3743167519569397,0.6809536814689636
3.0,0,0.06273617595434189,10.776479721069336
3.0,50,-0.22477060556411743,0.6778269410133362
3.0,100,-0.04386148974299431,0.6259580850601196
3.0,150,-0.1398257613182068,0.6597474217414856
3.0,200,-0.12858426570892334,1.3109900951385498
3.0,250,-0.253244012594223,0.4696709215641022
3.0,299,-0.19140313565731049,0.5834758877754211
10.0,0,0.2556591033935547,11.211305618286133
10.0,50,-0.14083898067474365,0.8289922475814819
10.0,100,-0.09070786088705063,0.5826079845428467
10.0,150,-0.05581129342317581,0.6663270592689514
10.0,200,-0.1497993916273117,0.5043541789054871
10.0,250,-0.1326969712972641,0.8307856321334839
10.0,299,-0.28501230478286743,0.7351389527320862
30.0,0,0.28638941049575806,10.315146446228027
30.0,50,-0.2883194088935852,0.9324647188186646
30.0,100,-0.133365660905838,1.016571044921875
30.0,150,-0.1020224466919899,0.41883954405784607
30.0,200,-0.2817983329296112,0.4738601744174957
30.0,250,-0.09644408524036407,0.9610225558280945
30.0,299,-0.2617053687572479,0.623237669467926
0.03,0,-0.20577795803546906,6.910216808319092
0.03,50,-0.31199824810028076,2.642353057861328
0.03,100,-0.27180570363998413,1.9001928567886353
0.03,150,-0.08114095777273178,2.3615763187408447
0.03,200,-0.20506808161735535,1.5521222352981567
0.03,250,-0.36728930473327637,2.8297886848449707
0.03,299,-0.14357468485832214,1.9542499780654907
0.1,0,0.07281451672315598,8.030603408813477
0.1,50,-0.18171264231204987,2.095606803894043
0.1,100,-0.3637233078479767,4.390969276428223
0.1,150,-0.17174851894378662,3.2358765602111816
0.1,200,-0.1655452698469162,1.7261745929718018
0.1,250,-0.14689123630523682,2.028989315032959
0.1,299,-0.07965271919965744,1.5847398042678833
0.3,0,-0.03992235288023949,6.982132434844971
0.3,50,-0.3064381182193756,1.7605311870574951
0.3,100,-0.2420855164527893,1.8240389823913574
0.3,150,-0.07323169708251953,2.961197853088379
0.3,200,-0.006155453622341156,1.708579421043396
0.3,250,-0.025027530267834663,2.4137113094329834
0.3,299,-0.16384299099445343,1.2508996725082397
1.0,0,-0.21748115122318268,8.616586685180664
1.0,50,-0.11660044640302658,1.9434548616409302
1.0,100,-0.14021657407283783,3.3150758743286133
1.0,150,0.06689389050006866,6.380325794219971
1.0,200,-0.06129671633243561,2.486063241958618
1.0,250,-0.2091168314218521,2.06730318069458
1.0,299,-0.17878305912017822,2.3490920066833496
3.0,0,-0.15473438799381256,6.252961158752441
3.0,50,-0.29273557662963867,1.940849781036377
3.0,100,-0.28751978278160095,1.7691640853881836
3.0,150,-0.13350585103034973,1.5834920406341553
3.0,200,-0.15558990836143494,1.8506534099578857
3.0,250,-0.047309547662734985,3.263827085494995
3.0,299,-0.07108007371425629,1.601983904838562
10.0,0,-0.32941463589668274,7.469090461730957
10.0,50,-0.17733418941497803,3.8997318744659424
10.0,100,-0.17778179049491882,2.0882606506347656
10.0,150,-0.011564012616872787,1.7408636808395386
10.0,200,0.029321398586034775,1.2453445196151733
10.0,250,-0.18945607542991638,1.2692725658416748
10.0,299,-0.11998658627271652,1.7713367938995361
30.0,0,-0.48085448145866394,7.978612899780273
30.0,50,-0.27789682149887085,1.5752122402191162
30.0,100,-0.28411632776260376,2.589085102081299
30.0,150,-0.13576091825962067,1.6604294776916504
30.0,200,-0.1461331695318222,1.5901845693588257
30.0,250,-0.3397780954837799,1.4675695896148682
30.0,299,0.03573746606707573,1.5620225667953491
0.03,0,-0.09673910588026047,3.89216947555542
0.03,50,-0.24867480993270874,1.0002585649490356
0.03,100,0.00804909598082304,0.8983968496322632
0.03,150,-0.4376066327095032,1.1757097244262695
0.03,200,-0.09360277652740479,0.8781926035881042
0.03,250,-0.1376168131828308,1.2305978536605835
0.03,299,-0.240509033203125,1.0748997926712036
0.1,0,0.06694253534078598,4.049533367156982
0.1,50,-0.24634526669979095,0.7479997873306274
0.1,100,0.00949887465685606,0.9396308660507202
0.1,150,-0.31297141313552856,1.4349099397659302
0.1,200,-0.12007870525121689,0.4822178781032562
0.1,250,-0.1123059019446373,0.7936628460884094
0.1,299,-0.3584531247615814,1.1123312711715698
0.3,0,-0.014596724882721901,4.700441360473633
