DMS_id,arm,alpha,alpha_eff,eps,rho,rho_base,auc,ap,delta,ctl
PSD95_CRIPT_1BE9,rand1,1.0,1.295778124477311,0.0985106602311134,0.3715880034381276,0.3716863840697702,1.0,1.0,-9.838063164263611e-05,random
PSD95_CRIPT_1BE9,rand2,1.0,1.180167910745703,0.0985106602311134,0.3700133124779307,0.3716863840697702,1.0,1.0,-0.0016730715918395478,random
PSD95_CRIPT_1BE9,shuffled,1.0,1.0482417770106949,0.0985106602311134,0.3709686582228713,0.3716863840697702,1.0,1.0,-0.0007177258468989423,shuffled
PSD95_CRIPT_1BE9,iface,2.0,2.0,0.1970213204622268,0.3668414061997219,0.3716863840697702,1.0,1.0,-0.004844977870048339,iface
PSD95_CRIPT_1BE9,rand0,2.0,2.316066837901628,0.1970213204622268,0.3672564769779612,0.3716863840697702,1.0,1.0,-0.0044299070918090155,random
PSD95_CRIPT_1BE9,rand1,2.0,2.591556248954622,0.1970213204622268,0.3715586704244833,0.3716863840697702,1.0,1.0,-0.00012771364528690876,random
PSD95_CRIPT_1BE9,rand2,2.0,2.360335821491406,0.1970213204622268,0.3684400218026602,0.3716863840697702,1.0,1.0,-0.0032463622671100034,random
PSD95_CRIPT_1BE9,shuffled,2.0,2.0964835540213893,0.1970213204622268,0.3695096614462051,0.3716863840697702,1.0,1.0,-0.0021767226235651083,shuffled
PSD95_CRIPT_1BE9,iface,4.0,4.0,0.3940426409244537,0.3538243070288966,0.3716863840697702,1.0,1.0,-0.017862077040873614,iface
PSD95_CRIPT_1BE9,rand0,4.0,4.632133675803256,0.3940426409244537,0.3662878989353676,0.3716863840697702,0.9915,0.9655239485520398,-0.005398485134402609,random
PSD95_CRIPT_1BE9,rand1,4.0,5.183112497909244,0.3940426707267761,0.3710440815701173,0.3716863840697702,1.0,1.0,-0.0006423024996529136,random
PSD95_CRIPT_1BE9,rand2,4.0,4.720671642982812,0.3940426409244537,0.3662372251588926,0.3716863840697702,1.0,1.0,-0.005449158910877605,random
PSD95_CRIPT_1BE9,shuffled,4.0,4.192967108042779,0.3940426409244537,0.3644822927910939,0.3716863840697702,0.9995,0.9976190476190476,-0.007204091278676328,shuffled
PSD95_CRIPT_1BE9,iface,8.0,8.0,0.7880852818489075,0.2957619251856108,0.3716863840697702,1.0,1.0,-0.07592445888415944,iface
PSD95_CRIPT_1BE9,rand0,8.0,9.264267351606511,0.7880852818489075,0.3728802902790266,0.3716863840697702,0.917,0.813575350088508,0.0011939062092563568,random
PSD95_CRIPT_1BE9,rand1,8.0,10.366224995818488,0.7880852818489075,0.3681455274310424,0.3716863840697702,0.979,0.9182065196557608,-0.0035408566387278295,random
PSD95_CRIPT_1BE9,rand2,8.0,9.441343285965624,0.7880852818489075,0.3550500735405354,0.3716863840697702,0.958,0.8592434116293143,-0.01663631052923481,random
PSD95_CRIPT_1BE9,shuffled,8.0,8.385934216085557,0.7880852818489075,0.3557867809341635,0.3716863840697702,0.9665,0.8891454870302922,-0.015899603135606732,shuffled
PSD95_Tm2F_1BE9,iface,-8.0,-8.0,0.790628969669342,0.2164691623109826,0.212750704290201,0.0,0.0972577999207766,0.0037184580207816065,iface
PSD95_Tm2F_1BE9,rand0,-8.0,-9.331816272622254,0.7906289100646973,0.2083537001907736,0.212750704290201,0.9206349206349206,0.7936979974664039,-0.004397004099427393,random
PSD95_Tm2F_1BE9,rand1,-8.0,-10.403600356994536,0.7906289100646973,0.1751460539124663,0.212750704290201,0.9235209235209234,0.7770561237980684,-0.037604650377734694,random
PSD95_Tm2F_1BE9,rand2,-8.0,-9.457815379160293,0.7906289100646973,0.1598990345406604,0.212750704290201,0.9894179894179894,0.96578192292478,-0.052851669749540586,random
PSD95_Tm2F_1BE9,shuffled,-8.0,-9.060351713632954,0.7906289100646973,0.1947932866258002,0.212750704290201,0.9942279942279942,0.9742272174570312,-0.017957417664400788,shuffled
PSD95_Tm2F_1BE9,iface,-4.0,-4.0,0.395314484834671,0.2164365196735406,0.212750704290201,0.0,0.0972577999207766,0.003685815383339619,iface
PSD95_Tm2F_1BE9,rand0,-4.0,-4.665908136311127,0.3953144550323486,0.2081845552307018,0.212750704290201,0.9947089947089948,0.9783708355136926,-0.004566149059499175,random
PSD95_Tm2F_1BE9,rand1,-4.0,-5.201800178497268,0.3953144550323486,0.1993072792646435,0.212750704290201,0.9975949975949976,0.9880352034487372,-0.013443425025557482,random
PSD95_Tm2F_1BE9,rand2,-4.0,-4.728907689580146,0.3953144550323486,0.1874161691987552,0.212750704290201,1.0,1.0,-0.025334535091445787,random
PSD95_Tm2F_1BE9,shuffled,-4.0,-4.530175856816477,0.3953144550323486,0.2107520354801997,0.212750704290201,1.0,1.0,-0.0019986688100012973,shuffled
PSD95_Tm2F_1BE9,iface,-2.0,-2.0,0.1976572424173355,0.2155090005758548,0.212750704290201,0.0,0.0972577999207766,0.0027582962856537996,iface
PSD95_Tm2F_1BE9,rand0,-2.0,-2.3329540681555634,0.1976572275161743,0.2098240708250479,0.212750704290201,1.0,1.0,-0.0029266334651530945,random
PSD95_Tm2F_1BE9,rand1,-2.0,-2.600900089248634,0.1976572275161743,0.2075141692376263,0.212750704290201,1.0,1.0,-0.005236535052574681,random
PSD95_Tm2F_1BE9,rand2,-2.0,-2.364453844790073,0.1976572275161743,0.2012031526805072,0.212750704290201,1.0,1.0,-0.011547551609693785,random
PSD95_Tm2F_1BE9,shuffled,-2.0,-2.2650879284082386,0.1976572275161743,0.2129602723267122,0.212750704290201,1.0,1.0,0.00020956803651120404,shuffled
PSD95_Tm2F_1BE9,iface,-1.0,-1.0,0.0988286212086677,0.2140889453212265,0.212750704290201,0.5271765271765272,0.1862640938347355,0.0013382410310255055,iface
PSD95_Tm2F_1BE9,rand0,-1.0,-1.1664770340777817,0.0988286137580871,0.2113668106281094,0.212750704290201,1.0,1.0,-0.001383893662091601,random
PSD95_Tm2F_1BE9,rand1,-1.0,-1.300450044624317,0.0988286137580871,0.2104052450274683,0.212750704290201,1.0,1.0,-0.002345459262732691,random
PSD95_Tm2F_1BE9,rand2,-1.0,-1.1822269223950366,0.0988286137580871,0.2071038582511679,0.212750704290201,1.0,1.0,-0.005646846039033093,random
PSD95_Tm2F_1BE9,shuffled,-1.0,-1.1325439642041193,0.0988286137580871,0.2130458301145819,0.212750704290201,1.0,1.0,0.00029512582438090407,shuffled
PSD95_Tm2F_1BE9,iface,-0.5,-0.5,0.0494143106043338,0.2133573793617289,0.212750704290201,1.0,1.0,0.0006066750715279234,iface
PSD95_Tm2F_1BE9,rand0,-0.5,-0.5832385170388908,0.0494143068790435,0.2121219183892528,0.212750704290201,1.0,1.0,-0.0006287859009481978,random
PSD95_Tm2F_1BE9,rand1,-0.5,-0.6502250223121585,0.0494143068790435,0.2116539589945489,0.212750704290201,1.0,1.0,-0.0010967452956520962,random
PSD95_Tm2F_1BE9,rand2,-0.5,-0.5911134611975183,0.0494143068790435,0.2099573300948659,0.212750704290201,1.0,1.0,-0.0027933741953350966,random
PSD95_Tm2F_1BE9,shuffled,-0.5,-0.5662719821020596,0.0494143068790435,0.2129651309460476,0.212750704290201,1.0,1.0,0.0002144266558466168,shuffled
PSD95_Tm2F_1BE9,iface,0.5,0.5,0.0494143106043338,0.2122044392292577,0.212750704290201,1.0,1.0,-0.0005462650609432962,iface
PSD95_Tm2F_1BE9,rand0,0.5,0.5832385170388908,0.0494143068790435,0.2129106609378592,0.212750704290201,1.0,1.0,0.00015995664765822148,random
PSD95_Tm2F_1BE9,rand1,0.5,0.6502250223121585,0.0494143068790435,0.2136089409316687,0.212750704290201,1.0,1.0,0.0008582366414677245,random
PSD95_Tm2F_1BE9,rand2,0.5,0.5911134611975183,0.0494143068790435,0.2149640029678747,0.212750704290201,1.0,1.0,0.002213298677673725,random
PSD95_Tm2F_1BE9,shuffled,0.5,0.5662719821020596,0.0494143068790435,0.2122107340744031,0.212750704290201,1.0,1.0,-0.0005399702157978803,shuffled
PSD95_Tm2F_1BE9,iface,1.0,1.0,0.0988286212086677,0.2114474442789532,0.212750704290201,1.0,1.0,-0.001303260011247781,iface
PSD95_Tm2F_1BE9,rand0,1.0,1.1664770340777817,0.0988286137580871,0.2127053047325771,0.212750704290201,1.0,1.0,-4.539955762389303e-05,random
PSD95_Tm2F_1BE9,rand1,1.0,1.300450044624317,0.0988286137580871,0.2144085934437933,0.212750704290201,1.0,1.0,0.0016578891535923013,random
PSD95_Tm2F_1BE9,rand2,1.0,1.1822269223950366,0.0988286137580871,0.2172122945478701,0.212750704290201,1.0,1.0,0.0044615902576691235,random
PSD95_Tm2F_1BE9,shuffled,1.0,1.1325439642041193,0.0988286137580871,0.2117259515836801,0.212750704290201,1.0,1.0,-0.0010247527065208872,shuffled
PSD95_Tm2F_1BE9,iface,2.0,2.0,0.1976572424173355,0.2091960572901648,0.212750704290201,1.0,1.0,-0.0035546470000361874,iface
PSD95_Tm2F_1BE9,rand0,2.0,2.3329540681555634,0.1976572275161743,0.2116209459158028,0.212750704290201,1.0,1.0,-0.0011297583743981876,random
PSD95_Tm2F_1BE9,rand1,2.0,2.600900089248634,0.1976572275161743,0.2149504729190459,0.212750704290201,1.0,1.0,0.0021997686288449114,random
PSD95_Tm2F_1BE9,rand2,2.0,2.364453844790073,0.1976572275161743,0.2206452386893185,0.212750704290201,1.0,1.0,0.007894534399117525,random
PSD95_Tm2F_1BE9,shuffled,2.0,2.2650879284082386,0.1976572275161743,0.210230422611666,0.212750704290201,1.0,1.0,-0.0025202816785349913,shuffled
PSD95_Tm2F_1BE9,iface,4.0,4.0,0.395314484834671,0.1993302608502575,0.212750704290201,1.0,1.0,-0.013420443439943475,iface
PSD95_Tm2F_1BE9,rand0,4.0,4.665908136311127,0.3953144550323486,0.203773034072826,0.212750704290201,0.9932659932659932,0.9732376545184428,-0.008977670217375,random
PSD95_Tm2F_1BE9,rand1,4.0,5.201800178497268,0.3953144550323486,0.2126633309615674,0.212750704290201,1.0,1.0,-8.737332863359426e-05,random
PSD95_Tm2F_1BE9,rand2,4.0,4.728907689580146,0.3953144550323486,0.2225345788598518,0.212750704290201,1.0,1.0,0.009783874569650824,random
PSD95_Tm2F_1BE9,shuffled,4.0,4.530175856816477,0.3953144550323486,0.2070255403226047,0.212750704290201,1.0,1.0,-0.005725163967596286,shuffled
PSD95_Tm2F_1BE9,iface,8.0,8.0,0.790628969669342,0.1742643963060154,0.212750704290201,1.0,1.0,-0.03848630798418559,iface
PSD95_Tm2F_1BE9,rand0,8.0,9.331816272622254,0.7906289100646973,0.1906362644555543,0.212750704290201,0.9316979316979316,0.8428415782162715,-0.0221144398346467,random
