DMS_id,arm,alpha,alpha_eff,eps,rho,rho_base,auc,ap,delta
PSD95_CRIPT_1BE9,rand0,2.0,2.316066837901628,0.19702132046222687,0.3672564769779612,0.3716863840697702,1.0,1.0,-0.0044299070918090155
PSD95_CRIPT_1BE9,rand1,2.0,2.591556248954622,0.19702132046222687,0.3715586704244833,0.3716863840697702,1.0,1.0,-0.00012771364528690876
PSD95_CRIPT_1BE9,rand2,2.0,2.360335821491406,0.19702132046222687,0.3684400218026602,0.3716863840697702,1.0,1.0,-0.0032463622671100034
PSD95_CRIPT_1BE9,shuffled,2.0,2.0964835540213893,0.19702132046222687,0.3695096614462051,0.3716863840697702,1.0,1.0,-0.0021767226235651083
PSD95_CRIPT_1BE9,iface,4.0,4.0,0.39404264092445374,0.3538243070288966,0.3716863840697702,1.0,1.0,-0.017862077040873614
PSD95_CRIPT_1BE9,rand0,4.0,4.632133675803256,0.39404264092445374,0.3662878989353676,0.3716863840697702,0.9915,0.9655239485520398,-0.005398485134402609
PSD95_CRIPT_1BE9,rand1,4.0,5.183112497909244,0.3940426707267761,0.37104408157011737,0.3716863840697702,1.0,1.0,-0.0006423024996528581
PSD95_CRIPT_1BE9,rand2,4.0,4.720671642982812,0.39404264092445374,0.3662372251588926,0.3716863840697702,1.0,1.0,-0.005449158910877605
PSD95_CRIPT_1BE9,shuffled,4.0,4.192967108042779,0.39404264092445374,0.36448229279109395,0.3716863840697702,0.9994999999999999,0.9976190476190476,-0.007204091278676272
PSD95_CRIPT_1BE9,iface,8.0,8.0,0.7880852818489075,0.29576192518561084,0.3716863840697702,1.0,1.0,-0.07592445888415938
PSD95_CRIPT_1BE9,rand0,8.0,9.264267351606511,0.7880852818489075,0.3728802902790266,0.3716863840697702,0.917,0.813575350088508,0.0011939062092563568
PSD95_CRIPT_1BE9,rand1,8.0,10.366224995818488,0.7880852818489075,0.36814552743104245,0.3716863840697702,0.979,0.9182065196557607,-0.003540856638727774
PSD95_CRIPT_1BE9,rand2,8.0,9.441343285965624,0.7880852818489075,0.35505007354053547,0.3716863840697702,0.958,0.8592434116293143,-0.016636310529234755
PSD95_CRIPT_1BE9,shuffled,8.0,8.385934216085557,0.7880852818489075,0.3557867809341635,0.3716863840697702,0.9665,0.8891454870302922,-0.015899603135606732
PSD95_Tm2F_1BE9,iface,-8.0,-8.0,0.790628969669342,0.21646916231098265,0.21275070429020101,0.0,0.09725779992077664,0.0037184580207816342
PSD95_Tm2F_1BE9,rand0,-8.0,-9.331816272622254,0.7906289100646973,0.20835370019077365,0.21275070429020101,0.9206349206349206,0.7936979974664039,-0.004397004099427365
PSD95_Tm2F_1BE9,rand1,-8.0,-10.403600356994536,0.7906289100646973,0.17514605391246638,0.21275070429020101,0.9235209235209234,0.7770561237980684,-0.03760465037773464
PSD95_Tm2F_1BE9,rand2,-8.0,-9.457815379160293,0.7906289100646973,0.15989903454066048,0.21275070429020101,0.9894179894179894,0.96578192292478,-0.05285166974954053
PSD95_Tm2F_1BE9,shuffled,-8.0,-9.060351713632954,0.7906289100646973,0.1947932866258002,0.21275070429020101,0.9942279942279942,0.9742272174570311,-0.017957417664400815
PSD95_Tm2F_1BE9,iface,-4.0,-4.0,0.395314484834671,0.21643651967354063,0.21275070429020101,0.0,0.09725779992077664,0.003685815383339619
PSD95_Tm2F_1BE9,rand0,-4.0,-4.665908136311127,0.39531445503234863,0.2081845552307018,0.21275070429020101,0.9947089947089947,0.9783708355136926,-0.004566149059499203
PSD95_Tm2F_1BE9,rand1,-4.0,-5.201800178497268,0.39531445503234863,0.19930727926464353,0.21275070429020101,0.9975949975949976,0.9880352034487373,-0.013443425025557482
PSD95_Tm2F_1BE9,rand2,-4.0,-4.728907689580146,0.39531445503234863,0.18741616919875526,0.21275070429020101,1.0,1.0,-0.02533453509144576
PSD95_Tm2F_1BE9,shuffled,-4.0,-4.530175856816477,0.39531445503234863,0.2107520354801997,0.21275070429020101,1.0,1.0,-0.001998668810001325
PSD95_Tm2F_1BE9,iface,-2.0,-2.0,0.1976572424173355,0.21550900057585481,0.21275070429020101,0.0,0.09725779992077664,0.0027582962856537996
PSD95_Tm2F_1BE9,rand0,-2.0,-2.3329540681555634,0.19765722751617432,0.20982407082504792,0.21275070429020101,1.0,1.0,-0.0029266334651530945
PSD95_Tm2F_1BE9,rand1,-2.0,-2.600900089248634,0.19765722751617432,0.20751416923762636,0.21275070429020101,1.0,1.0,-0.0052365350525746535
PSD95_Tm2F_1BE9,rand2,-2.0,-2.364453844790073,0.19765722751617432,0.2012031526805072,0.21275070429020101,1.0,1.0,-0.011547551609693812
PSD95_Tm2F_1BE9,shuffled,-2.0,-2.2650879284082386,0.19765722751617432,0.21296027232671227,0.21275070429020101,1.0,1.0,0.00020956803651125955
PSD95_Tm2F_1BE9,iface,-1.0,-1.0,0.09882862120866776,0.21408894532122652,0.21275070429020101,0.5271765271765272,0.18626409383473555,0.0013382410310255055
PSD95_Tm2F_1BE9,rand0,-1.0,-1.1664770340777817,0.09882861375808716,0.2113668106281094,0.21275070429020101,1.0,1.0,-0.0013838936620916287
PSD95_Tm2F_1BE9,rand1,-1.0,-1.300450044624317,0.09882861375808716,0.21040524502746838,0.21275070429020101,1.0,1.0,-0.0023454592627326354
PSD95_Tm2F_1BE9,rand2,-1.0,-1.1822269223950366,0.09882861375808716,0.2071038582511679,0.21275070429020101,1.0,1.0,-0.005646846039033121
PSD95_Tm2F_1BE9,shuffled,-1.0,-1.1325439642041193,0.09882861375808716,0.21304583011458197,0.21275070429020101,1.0,1.0,0.0002951258243809596
PSD95_Tm2F_1BE9,iface,-0.5,-0.5,0.04941431060433388,0.2133573793617289,0.21275070429020101,1.0,1.0,0.0006066750715278957
PSD95_Tm2F_1BE9,rand0,-0.5,-0.5832385170388908,0.04941430687904358,0.2121219183892528,0.21275070429020101,1.0,1.0,-0.0006287859009482255
