DMS_id,lam,step,rho,rho_base,gain,corr_w_after,corr_w_before,ds_rms,final_M
GB1_IgG-Fc_fitness_1FCC,0.03,1000,0.2642081646626212,0.5004876730948997,-0.23627950843227852,-0.9707137924057432,0.0019175747293891357,8.081095695495605,
GB1_IgG-Fc_fitness_1FCC,0.03,2000,0.2499710461267302,0.5004876730948997,-0.2505166269681695,-0.984092882601992,0.0019175747293891357,7.397305011749268,
GB1_IgG-Fc_fitness_1FCC,0.03,3000,0.25339630951172626,0.5004876730948997,-0.24709136358317346,-0.9888025919372004,0.0019175747293891357,6.842794895172119,
GB1_IgG-Fc_fitness_1FCC,0.1,300,0.4093976582595071,0.5004876730948997,-0.09109001483539264,-0.7798545644585189,0.0019175747293891357,6.200692653656006,
GB1_IgG-Fc_fitness_1FCC,0.1,1000,0.3353275990341508,0.5004876730948997,-0.1651600740607489,-0.9195745030167698,0.0019175747293891357,7.800012588500977,
GB1_IgG-Fc_fitness_1FCC,0.1,2000,0.31527841515417215,0.5004876730948997,-0.18520925794072757,-0.9523829597055221,0.0019175747293891357,7.227066516876221,
GB1_IgG-Fc_fitness_1FCC,0.1,3000,0.29975132438741786,0.5004876730948997,-0.20073634870748186,-0.965337317358545,0.0019175747293891357,6.186557769775391,
GB1_IgG-Fc_fitness_1FCC,0.3,300,0.5174492424531307,0.5004876730948997,0.01696156935823101,-0.4905581141970777,0.0019175747293891357,5.58106803894043,
GB1_IgG-Fc_fitness_1FCC,0.3,1000,0.4575598333375127,0.5004876730948997,-0.04292783975738701,-0.7414864967637836,0.0019175747293891357,6.947572231292725,
GB1_IgG-Fc_fitness_1FCC,0.3,2000,0.4318237075488256,0.5004876730948997,-0.06866396554607412,-0.8133244880023657,0.0019175747293891357,7.0173845291137695,
GB1_IgG-Fc_fitness_1FCC,0.3,3000,0.4138898912327247,0.5004876730948997,-0.08659778186217504,-0.8498069977270793,0.0019175747293891357,6.118469715118408,
GB1_IgG-Fc_fitness_1FCC,1.0,300,0.5282425996322148,0.5004876730948997,0.02775492653731504,-0.21134226048569513,0.0019175747293891357,5.666753768920898,
GB1_IgG-Fc_fitness_1FCC,1.0,1000,0.5341575432755643,0.5004876730948997,0.033669870180664585,-0.3550384298060094,0.0019175747293891357,6.342155933380127,
GB1_IgG-Fc_fitness_1FCC,1.0,2000,0.5345199575767706,0.5004876730948997,0.0340322844818709,-0.41927143982479004,0.0019175747293891357,5.524709701538086,
