lam,step,l_div,l_anchor
1.0,150,-0.025036606937646866,0.34377333521842957
1.0,200,0.050404395908117294,0.3537798225879669
1.0,250,0.12757264077663422,0.40007513761520386
1.0,299,0.021876316517591476,0.32288530468940735
3.0,0,0.19534549117088318,1.6231993436813354
3.0,50,0.08070459216833115,0.5669881105422974
3.0,100,0.17941580712795258,0.5072433352470398
3.0,150,0.06527043879032135,0.3289787471294403
3.0,200,0.025006892159581184,0.5182362198829651
3.0,250,0.13916070759296417,0.36629876494407654
3.0,299,0.15338774025440216,0.381358802318573
10.0,0,0.2382408231496811,1.5715118646621704
10.0,50,0.03741370886564255,0.4804655909538269
10.0,100,0.14456422626972198,0.378839373588562
10.0,150,-0.03601201996207237,0.49455350637435913
10.0,200,0.12731648981571198,0.3548004925251007
10.0,250,0.1837453842163086,0.4045344889163971
10.0,299,0.20523564517498016,0.31307944655418396
30.0,0,0.12355069816112518,1.7441747188568115
30.0,50,0.04074499383568764,0.4285210072994232
30.0,100,0.16105419397354126,0.40643033385276794
30.0,150,0.09390194714069366,0.3295760452747345
30.0,200,0.016344258561730385,0.3436155915260315
30.0,250,0.2503148913383484,0.4505619704723358
30.0,299,0.22892116010189056,0.3476127088069916
0.03,0,-0.08657222986221313,1.9431114196777344
0.03,50,-0.3359314799308777,0.5765952467918396
0.03,100,-0.5274882912635803,1.422126293182373
0.03,150,-0.5557871460914612,1.874683141708374
0.03,200,-0.7144696116447449,1.8371812105178833
0.03,250,-0.6012237071990967,2.1965713500976562
0.03,299,-0.7548753023147583,1.7759742736816406
0.1,0,-0.11139082908630371,1.7924522161483765
0.1,50,-0.17628660798072815,0.4933360517024994
0.1,100,-0.3407275974750519,0.6472610831260681
0.1,150,-0.31452617049217224,0.8981812000274658
0.1,200,-0.6385731101036072,1.206632375717163
0.1,250,-0.4353017807006836,1.3336039781570435
0.1,299,-0.6335084438323975,1.766394019126892
0.3,0,0.09026097506284714,2.020418405532837
0.3,50,-0.21651601791381836,0.3816583752632141
0.3,100,-0.1760299801826477,0.4379752576351166
0.3,150,-0.061538487672805786,0.36973902583122253
0.3,200,-0.4844285845756531,0.453825980424881
0.3,250,-0.15279491245746613,0.5872504115104675
0.3,299,-0.45218080282211304,1.3189704418182373
1.0,0,0.026779238134622574,1.7357584238052368
1.0,50,-0.09208640456199646,0.5078160762786865
1.0,100,-0.20656709372997284,0.29948800802230835
1.0,150,0.09140192717313766,0.28103235363960266
1.0,200,-0.2947887182235718,0.362376868724823
1.0,250,-0.02584727667272091,0.33379602432250977
1.0,299,-0.26746782660484314,0.3177608251571655
3.0,0,-0.05778079852461815,1.8271119594573975
3.0,50,-0.08576209098100662,0.5260459184646606
3.0,100,0.025112131610512733,0.4205724895000458
3.0,150,0.14671114087104797,0.37383946776390076
3.0,200,-0.20252512395381927,0.3533163070678711
3.0,250,0.058233484625816345,0.28943899273872375
3.0,299,-0.12993314862251282,0.42806893587112427
10.0,0,-0.026628410443663597,1.8667184114456177
10.0,50,-0.1124776229262352,0.5339306592941284
10.0,100,-0.014608844183385372,0.4346925616264343
10.0,150,0.1671045571565628,0.3539624810218811
